src/suncertify/business/BasicContractorService.java:39:	Found 'DD'-anomaly for variable 'recordNumber' (lines '39'-'43').
test/test/db/DataConcurrencyTest.java:52:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
test/test/db/DataConcurrencyTest.java:53:	System.out.println is used
test/test/db/DataConcurrencyTest.java:58:	Each class should declare at least one constructor
test/test/db/DataConcurrencyTest.java:58:	To be compliant to J2EE, a webapp should not use any thread.
test/test/db/DataConcurrencyTest.java:58:	headerCommentRequirement Required
test/test/db/DataConcurrencyTest.java:61:	publicMethodCommentRequirement Required
test/test/db/DataConcurrencyTest.java:63:	System.out.println is used
test/test/db/DataConcurrencyTest.java:66:	System.out.println is used
test/test/db/DataConcurrencyTest.java:69:	System.out.println is used
test/test/db/DataConcurrencyTest.java:72:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
test/test/db/DataConcurrencyTest.java:73:	System.out.println is used
test/test/db/DataConcurrencyTest.java:78:	Each class should declare at least one constructor
test/test/db/DataConcurrencyTest.java:78:	To be compliant to J2EE, a webapp should not use any thread.
test/test/db/DataConcurrencyTest.java:78:	headerCommentRequirement Required
test/test/db/DataConcurrencyTest.java:81:	publicMethodCommentRequirement Required
test/test/db/DataConcurrencyTest.java:83:	System.out.println is used
test/test/db/DataConcurrencyTest.java:88:	System.out.println is used
test/test/db/DataConcurrencyTest.java:92:	System.out.println is used
test/test/db/DataConcurrencyTest.java:94:	System.out.println is used
test/test/db/DataConcurrencyTest.java:95:	System.out.println is used
test/test/db/DataConcurrencyTest.java:96:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
test/test/db/DataConcurrencyTest.java:103:	System.out.println is used
test/test/db/DataConcurrencyTest.java:106:	System.out.println is used
test/test/db/DataConcurrencyTest.java:107:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
test/test/db/DataConcurrencyTest.java:108:	System.out.println is used
test/test/db/DataConcurrencyTest.java:113:	Each class should declare at least one constructor
test/test/db/DataConcurrencyTest.java:113:	To be compliant to J2EE, a webapp should not use any thread.
test/test/db/DataConcurrencyTest.java:113:	headerCommentRequirement Required
test/test/db/DataConcurrencyTest.java:116:	publicMethodCommentRequirement Required
test/test/db/DataConcurrencyTest.java:127:	System.out.println is used
test/test/db/DataConcurrencyTest.java:142:	System.out.println is used
test/test/db/DataConcurrencyTest.java:156:	System.out.println is used
test/test/db/DataConcurrencyTest.java:159:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
test/test/db/DataConcurrencyTest.java:160:	System.out.println is used
test/test/db/DataConcurrencyTest.java:165:	Each class should declare at least one constructor
test/test/db/DataConcurrencyTest.java:165:	To be compliant to J2EE, a webapp should not use any thread.
test/test/db/DataConcurrencyTest.java:165:	headerCommentRequirement Required
test/test/db/DataConcurrencyTest.java:168:	publicMethodCommentRequirement Required
test/test/db/DataConcurrencyTest.java:178:	System.out.println is used
test/test/db/DataConcurrencyTest.java:181:	System.out.println is used
test/test/db/DataConcurrencyTest.java:184:	System.out.println is used
test/test/db/DataConcurrencyTest.java:193:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
test/test/db/DataConcurrencyTest.java:194:	System.out.println is used
test/test/db/DataConcurrencyTest.java:199:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
test/test/db/DataConcurrencyTest.java:199:	Possible unsafe assignment to a non-final static field in a constructor.
test/test/db/DataConcurrencyTest.java:199:	fieldCommentRequirement Required
test/test/db/DataConcurrencyTest.java:211:	Empty initializer was found
test/test/db/DataConcurrencyTest.java:211:	Empty initializer was found
test/test/db/DataConcurrencyTest.java:211:	Empty static initializer was found
test/test/db/DataConcurrencyTest.java:211:	Empty static initializer was found
test/test/db/DataConcurrencyTest.java:215:	publicMethodCommentRequirement Required
test/test/db/DataConcurrencyTest.java:219:	Avoid unused constructor parameters such as 'data'.
test/test/db/DataConcurrencyTest.java:219:	publicMethodCommentRequirement Required
test/test/db/DataConcurrencyTest.java:223:	Found 'UR'-anomaly for variable 'thread' (lines '223'-'244').
test/test/db/DataConcurrencyTest.java:223:	publicMethodCommentRequirement Required
test/test/db/DataConcurrencyTest.java:231:	To be compliant to J2EE, a webapp should not use any thread.
test/test/db/DataConcurrencyTest.java:231:	To be compliant to J2EE, a webapp should not use any thread.
test/test/db/DataConcurrencyTest.java:233:	Avoid instantiating new objects inside loops
test/test/db/DataConcurrencyTest.java:234:	Avoid instantiating new objects inside loops
test/test/db/DataConcurrencyTest.java:235:	Avoid instantiating new objects inside loops
test/test/db/DataConcurrencyTest.java:236:	Avoid instantiating new objects inside loops
test/test/db/DataConcurrencyTest.java:237:	Avoid instantiating new objects inside loops
test/test/db/DataConcurrencyTest.java:238:	Avoid instantiating new objects inside loops
test/test/db/DataConcurrencyTest.java:243:	To be compliant to J2EE, a webapp should not use any thread.
test/test/db/DataConcurrencyTest.java:247:	To be compliant to J2EE, a webapp should not use any thread.
test/test/db/DataConcurrencyTest.java:250:	System.out.println is used
test/test/db/DataConcurrencyTest.java:252:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
test/test/db/DataConcurrencyTest.java:253:	System.out.println is used
test/test/db/DataTest.java:1:	Too many static imports may lead to messy code
test/test/db/DataTest.java:22:	Each class should declare at least one constructor
test/test/db/DataTest.java:22:	headerCommentRequirement Required
test/test/db/DataTest.java:24:	fieldCommentRequirement Required
test/test/db/DataTest.java:26:	The String literal "Dogs With Tools" appears 4 times in this file; the first occurrence is on line 26
test/test/db/DataTest.java:26:	The String literal "Smallville" appears 4 times in this file; the first occurrence is on line 26
test/test/db/DataTest.java:26:	fieldCommentRequirement Required
test/test/db/DataTest.java:28:	The String literal "Gotham" appears 4 times in this file; the first occurrence is on line 28
test/test/db/DataTest.java:28:	The String literal "Smack my Itch up" appears 5 times in this file; the first occurrence is on line 28
test/test/db/DataTest.java:28:	fieldCommentRequirement Required
test/test/db/DataTest.java:31:	Avoid excessively long variable names like searchCriteria_ValidName_ValidLocation
test/test/db/DataTest.java:31:	fieldCommentRequirement Required
test/test/db/DataTest.java:33:	Avoid excessively long variable names like searchCriteria_ValidName_InvalidLocation
test/test/db/DataTest.java:33:	fieldCommentRequirement Required
test/test/db/DataTest.java:35:	Avoid excessively long variable names like searchCriteria_ValidName_NoLocation
test/test/db/DataTest.java:35:	fieldCommentRequirement Required
test/test/db/DataTest.java:37:	Avoid excessively long variable names like searchCriteria_NoName_ValidLocation
test/test/db/DataTest.java:37:	fieldCommentRequirement Required
test/test/db/DataTest.java:38:	Avoid excessively long variable names like searchCriteria_NoName_InvalidLocation
test/test/db/DataTest.java:38:	fieldCommentRequirement Required
test/test/db/DataTest.java:39:	Avoid excessively long variable names like searchCriteria_NoName_NoLocation
test/test/db/DataTest.java:39:	fieldCommentRequirement Required
test/test/db/DataTest.java:40:	Avoid excessively long variable names like searchCriteria_InvalidName_ValidLocation
test/test/db/DataTest.java:40:	fieldCommentRequirement Required
test/test/db/DataTest.java:42:	Avoid excessively long variable names like searchCriteria_InvalidName_InvalidLocation
test/test/db/DataTest.java:42:	fieldCommentRequirement Required
test/test/db/DataTest.java:44:	Avoid excessively long variable names like searchCriteria_InvalidName_NoLocation
test/test/db/DataTest.java:44:	fieldCommentRequirement Required
test/test/db/DataTest.java:46:	Avoid excessively long variable names like searchCriteria_TooManyFields
test/test/db/DataTest.java:46:	fieldCommentRequirement Required
test/test/db/DataTest.java:48:	Avoid excessively long variable names like VALID_RECORD_NUMBER
test/test/db/DataTest.java:48:	This final field could be made static
test/test/db/DataTest.java:48:	fieldCommentRequirement Required
test/test/db/DataTest.java:49:	Avoid excessively long variable names like INVALID_RECORD_NUMBER
test/test/db/DataTest.java:49:	This final field could be made static
test/test/db/DataTest.java:49:	fieldCommentRequirement Required
test/test/db/DataTest.java:52:	You may have misspelled a JUnit framework method (setUp or tearDown)
test/test/db/DataTest.java:52:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:57:	You may have misspelled a JUnit framework method (setUp or tearDown)
test/test/db/DataTest.java:57:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:63:	JUnit tests should not contain more than 1 assert(s).
test/test/db/DataTest.java:63:	Method names should not contain underscores
test/test/db/DataTest.java:63:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:72:	Method names should not contain underscores
test/test/db/DataTest.java:72:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:78:	Method names should not contain underscores
test/test/db/DataTest.java:78:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:83:	JUnit tests should not contain more than 1 assert(s).
test/test/db/DataTest.java:83:	Method names should not contain underscores
test/test/db/DataTest.java:83:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:92:	JUnit tests should not contain more than 1 assert(s).
test/test/db/DataTest.java:92:	Method names should not contain underscores
test/test/db/DataTest.java:92:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:101:	JUnit tests should not contain more than 1 assert(s).
test/test/db/DataTest.java:101:	Method names should not contain underscores
test/test/db/DataTest.java:101:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:108:	Method names should not contain underscores
test/test/db/DataTest.java:108:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:113:	Method names should not contain underscores
test/test/db/DataTest.java:113:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:119:	Method names should not contain underscores
test/test/db/DataTest.java:119:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:125:	Method names should not contain underscores
test/test/db/DataTest.java:125:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:131:	Method names should not contain underscores
test/test/db/DataTest.java:131:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:137:	Method names should not contain underscores
test/test/db/DataTest.java:137:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:143:	Method names should not contain underscores
test/test/db/DataTest.java:143:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:149:	Method names should not contain underscores
test/test/db/DataTest.java:149:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:154:	Method names should not contain underscores
test/test/db/DataTest.java:154:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:160:	JUnit tests should not contain more than 1 assert(s).
test/test/db/DataTest.java:160:	Method names should not contain underscores
test/test/db/DataTest.java:160:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:167:	Method names should not contain underscores
test/test/db/DataTest.java:167:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:174:	JUnit tests should not contain more than 1 assert(s).
test/test/db/DataTest.java:174:	Method names should not contain underscores
test/test/db/DataTest.java:174:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:181:	Method names should not contain underscores
test/test/db/DataTest.java:181:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:188:	Method names should not contain underscores
test/test/db/DataTest.java:188:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:193:	Method names should not contain underscores
test/test/db/DataTest.java:193:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:199:	JUnit tests should not contain more than 1 assert(s).
test/test/db/DataTest.java:199:	Method names should not contain underscores
test/test/db/DataTest.java:199:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:206:	Method names should not contain underscores
test/test/db/DataTest.java:206:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:213:	JUnit tests should not contain more than 1 assert(s).
test/test/db/DataTest.java:213:	Method names should not contain underscores
test/test/db/DataTest.java:213:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:220:	Method names should not contain underscores
test/test/db/DataTest.java:220:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:226:	Method names should not contain underscores
test/test/db/DataTest.java:226:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:231:	Method names should not contain underscores
test/test/db/DataTest.java:231:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:236:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:241:	Method names should not contain underscores
test/test/db/DataTest.java:241:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:247:	Method names should not contain underscores
test/test/db/DataTest.java:247:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:252:	Method names should not contain underscores
test/test/db/DataTest.java:252:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:258:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:264:	Method names should not contain underscores
test/test/db/DataTest.java:264:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:269:	Method names should not contain underscores
test/test/db/DataTest.java:269:	publicMethodCommentRequirement Required
test/test/db/DataTest.java:276:	JUnit tests should not contain more than 1 assert(s).
test/test/db/DataTest.java:276:	Method names should not contain underscores
test/test/db/DataTest.java:276:	publicMethodCommentRequirement Required
test/test/util/Constants.java:5:	Each class should declare at least one constructor
test/test/util/Constants.java:5:	headerCommentRequirement Required
test/test/util/Constants.java:11:	Avoid excessively long variable names like DEFAULT_DB_LOCATION_SERVER
test/test/util/Constants.java:15:	Avoid excessively long variable names like DEFAULT_DB_LOCATION_STANDALONE
test/test/util/Constants.java:19:	Avoid excessively long variable names like DEFAULT_SERVER_IPADDRESS
test/test/util/Constants.java:22:	Avoid excessively long variable names like DEFAULT_PORT_NUMBER
test/test/util/DBFileReader.java:17:	All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.
test/test/util/DBFileReader.java:20:	Avoid excessively long variable names like CHARACTER_ENCODING
test/test/util/DBFileReader.java:23:	Avoid excessively long variable names like DATABASE_FILE_LOCATION
test/test/util/DBFileReader.java:32:	Local variable 'databasePath' could be declared final
test/test/util/DBFileReader.java:35:	Local variable 'byteBuffer' could be declared final
test/test/util/DBFileReader.java:39:	Found 'DD'-anomaly for variable 'fieldValueSizes' (lines '39'-'50').
test/test/util/DBFileReader.java:39:	Found 'DU'-anomaly for variable 'fieldValueSizes' (lines '39'-'76').
test/test/util/DBFileReader.java:40:	Found 'DD'-anomaly for variable 'fieldValues' (lines '40'-'61').
test/test/util/DBFileReader.java:40:	Found 'DU'-anomaly for variable 'fieldValues' (lines '40'-'76').
test/test/util/DBFileReader.java:41:	Found 'DD'-anomaly for variable 'fieldNames' (lines '41'-'49').
test/test/util/DBFileReader.java:41:	Found 'DU'-anomaly for variable 'fieldNames' (lines '41'-'76').
test/test/util/DBFileReader.java:43:	Found 'DD'-anomaly for variable 'recordCount' (lines '43'-'69').
test/test/util/DBFileReader.java:49:	Found 'DD'-anomaly for variable 'fieldNames' (lines '49'-'49').
test/test/util/DBFileReader.java:49:	Found 'DU'-anomaly for variable 'fieldNames' (lines '49'-'76').
test/test/util/DBFileReader.java:50:	Found 'DD'-anomaly for variable 'fieldValueSizes' (lines '50'-'50').
test/test/util/DBFileReader.java:50:	Found 'DU'-anomaly for variable 'fieldValueSizes' (lines '50'-'76').
test/test/util/DBFileReader.java:51:	System.out.println is used
test/test/util/DBFileReader.java:53:	System.out.println is used
test/test/util/DBFileReader.java:54:	System.out.println is used
test/test/util/DBFileReader.java:58:	System.out.println is used
test/test/util/DBFileReader.java:61:	Found 'DD'-anomaly for variable 'fieldValues' (lines '61'-'61').
test/test/util/DBFileReader.java:61:	Found 'DU'-anomaly for variable 'fieldValues' (lines '61'-'76').
test/test/util/DBFileReader.java:64:	System.out.println is used
test/test/util/DBFileReader.java:66:	System.out.println is used
test/test/util/DBFileReader.java:67:	System.out.println is used
test/test/util/DBFileReader.java:68:	System.out.println is used
test/test/util/DBFileReader.java:69:	Found 'DD'-anomaly for variable 'recordCount' (lines '69'-'69').
test/test/util/DBFileReader.java:71:	System.out.println is used
test/test/util/DBFileReader.java:74:	Avoid printStackTrace(); use a logger call instead.
test/test/util/DBFileReader.java:84:	Parameter 'flagvalue' is not assigned and could be declared final
test/test/util/DBFileReader.java:85:	Avoid using Literals in Conditional Statements
test/test/util/DBFileReader.java:86:	A method should have only one exit point, and that should be the last statement in the method
test/test/util/DBFileReader.java:99:	Parameter 'byteBuffer' is not assigned and could be declared final
test/test/util/DBFileReader.java:99:	Parameter 'size' is not assigned and could be declared final
